name, latitude, longitude
activity, -27.7025184, -48.4965972, 2023-04-01T02:54:01.586Z
activity, -27.6996936, -48.5003433, 2023-04-01T02:54:01.586Z
activity, -27.6968154, -48.49971, 2023-04-01T02:54:01.586Z
activity, -27.6970291, -48.4997558, 2023-04-01T12:53:29.262Z
activity, -27.7062511, -48.5021743, 2023-04-01T12:53:29.262Z
activity, -27.7062625, -48.5032272, 2023-04-01T12:53:29.262Z
activity, -27.7062625, -48.5028953, 2023-04-01T13:33:26.493Z
activity, -27.7062587, -48.503395, 2023-04-01T13:33:26.493Z
activity, -27.7073669, -48.5040283, 2023-04-01T13:33:26.493Z
activity, -27.7073764, -48.5040283, 2023-04-01T13:47:59.339Z
activity, -27.710205, -48.5045356, 2023-04-01T13:47:59.339Z
activity, -27.7393074, -48.5153274, 2023-04-01T13:47:59.339Z
activity, -27.7393074, -48.5153274, 2023-04-01T19:06:25.598Z
activity, -27.7088165, -48.5042762, 2023-04-01T19:06:25.598Z
activity, -27.7075996, -48.504074, 2023-04-01T19:06:25.598Z
activity, -27.7071208, -48.5039787, 2023-04-01T19:33:11.148Z
activity, -27.7062397, -48.5018386, 2023-04-01T19:33:11.148Z
activity, -27.6968059, -48.4997062, 2023-04-01T19:33:11.148Z
activity, -27.7073879, -48.5040321, 2023-04-01T23:07:24.447Z
activity, -27.7060127, -48.5075912, 2023-04-01T23:07:24.447Z
activity, -27.7003765, -48.5107078, 2023-04-01T23:07:24.447Z
activity, -27.7002391, -48.5107955, 2023-04-02T02:15:23.481Z
activity, -27.7052822, -48.5088195, 2023-04-02T02:15:23.481Z
activity, -27.7057876, -48.5087547, 2023-04-02T02:15:23.481Z
activity, -27.7062625, -48.5029487, 2023-04-02T02:15:23.481Z
activity, -27.706253, -48.5022354, 2023-04-02T02:15:23.481Z
activity, -27.7062397, -48.5018386, 2023-04-02T02:15:23.481Z
activity, -27.6977138, -48.4999046, 2023-04-02T02:15:23.481Z
activity, -27.6970195, -48.4997558, 2023-04-02T12:55:50.103Z
activity, -27.7062397, -48.5018386, 2023-04-02T12:55:50.103Z
activity, -27.7072849, -48.504013, 2023-04-02T12:55:50.103Z
activity, -27.7079772, -48.5041542, 2023-04-02T13:07:48.526Z
activity, -27.709608, -48.504425, 2023-04-02T13:07:48.526Z
activity, -27.7165699, -48.5048599, 2023-04-02T13:07:48.526Z
activity, -27.7165699, -48.5048599, 2023-04-02T13:21:29.472Z
activity, -27.7629013, -48.5107536, 2023-04-02T13:21:29.472Z
activity, -27.7818603, -48.5079002, 2023-04-02T13:21:29.472Z
activity, -27.7834911, -48.5278396, 2023-04-02T13:21:29.472Z
activity, -27.7953834, -48.5355224, 2023-04-02T13:21:29.472Z
activity, -27.7175045, -48.5042381, 2023-04-02T21:07:47Z
activity, -27.7117137, -48.5029792, 2023-04-02T21:07:47Z
activity, -27.6970272, -48.4997558, 2023-04-02T21:07:47Z
activity, -27.6967639, -48.4996986, 2023-04-04T15:27:45.410Z
activity, -27.6950206, -48.499649, 2023-04-04T15:27:45.410Z
activity, -27.6950054, -48.4997177, 2023-04-04T15:27:45.410Z
activity, -27.6949901, -48.499794, 2023-04-04T15:35:47.493Z
activity, -27.6962337, -48.4995841, 2023-04-04T15:35:47.493Z
activity, -27.6970195, -48.499752, 2023-04-04T15:35:47.493Z
activity, -27.6970195, -48.4997558, 2023-04-04T22:22:43.809Z
activity, -27.6899757, -48.4987106, 2023-04-04T22:22:43.809Z
activity, -27.6793155, -48.4979438, 2023-04-04T22:22:43.809Z
activity, -27.6792964, -48.4979286, 2023-04-04T23:09:41.415Z
activity, -27.6899757, -48.4987106, 2023-04-04T23:09:41.415Z
activity, -27.6969337, -48.4997367, 2023-04-04T23:09:41.415Z
activity, -27.6970195, -48.4997558, 2023-04-06T13:05:50.278Z
activity, -27.6940898, -48.4997215, 2023-04-06T13:05:50.278Z
activity, -27.6824436, -48.4936027, 2023-04-06T13:05:50.278Z
activity, -27.6824703, -48.4936218, 2023-04-06T13:20:32.769Z
activity, -27.6814517, -48.4929924, 2023-04-06T13:20:32.769Z
activity, -27.6735725, -48.5030479, 2023-04-06T13:20:32.769Z
activity, -27.6735763, -48.5030441, 2023-04-06T13:45:39.145Z
activity, -27.6756114, -48.5013694, 2023-04-06T13:45:39.145Z
activity, -27.6769561, -48.4994812, 2023-04-06T13:45:39.145Z
activity, -27.6774959, -48.4985694, 2023-04-06T14:01:27.160Z
activity, -27.6814517, -48.4929924, 2023-04-06T14:01:27.160Z
activity, -27.6822681, -48.4914474, 2023-04-06T14:01:27.160Z
activity, -27.6825504, -48.4914932, 2023-04-06T14:51:25Z
activity, -27.6947822, -48.5001716, 2023-04-06T14:51:25Z
activity, -27.6970176, -48.499752, 2023-04-06T14:51:25Z
activity, -27.6970291, -48.4997558, 2023-04-09T16:52:11.808Z
activity, -27.6965675, -48.4925956, 2023-04-09T16:52:11.808Z
activity, -27.6968631, -48.4913024, 2023-04-09T16:52:11.808Z
activity, -27.6977005, -48.4898223, 2023-04-09T20:05:16.258Z
activity, -27.6965675, -48.4925956, 2023-04-09T20:05:16.258Z
activity, -27.6962661, -48.4995918, 2023-04-09T20:05:16.258Z
activity, -27.6970176, -48.499752, 2023-04-10T13:51:35.448Z
activity, -27.6940898, -48.4997215, 2023-04-10T13:51:35.448Z
activity, -27.6822681, -48.4914474, 2023-04-10T13:51:35.448Z
activity, -27.6822681, -48.4914474, 2023-04-10T14:20:14.498Z
activity, -27.6814517, -48.4929924, 2023-04-10T14:20:14.498Z
activity, -27.6815032, -48.4933471, 2023-04-10T14:20:14.498Z
activity, -27.6814613, -48.4935073, 2023-04-10T14:42:06.549Z
activity, -27.6947822, -48.5001716, 2023-04-10T14:42:06.549Z
activity, -27.6970291, -48.4997558, 2023-04-10T14:42:06.549Z
activity, -27.6970252, -48.4997558, 2023-04-10T22:45:25.840Z
activity, -27.6953334, -48.4993972, 2023-04-10T22:45:25.840Z
activity, -27.694683, -48.4952087, 2023-04-10T22:45:25.840Z
activity, -27.6948089, -48.4942207, 2023-04-10T23:34:04.451Z
activity, -27.6949119, -48.4993133, 2023-04-10T23:34:04.451Z
activity, -27.7022056, -48.4972114, 2023-04-10T23:34:04.451Z
activity, -27.6970252, -48.4997558, 2023-04-11T03:22:36.136Z
activity, -27.6953334, -48.4993972, 2023-04-11T03:22:36.136Z
activity, -27.6946659, -48.4953498, 2023-04-11T03:22:36.136Z
activity, -27.694683, -48.4952087, 2023-04-11T11:51:28.951Z
activity, -27.7062511, -48.5021743, 2023-04-11T11:51:28.951Z
activity, -27.7080745, -48.5075492, 2023-04-11T11:51:28.951Z
activity, -27.7093696, -48.5089836, 2023-04-11T11:51:28.951Z
activity, -27.7149734, -48.5104522, 2023-04-11T11:51:28.951Z
activity, -27.715208, -48.5099411, 2023-04-11T12:28:13.087Z
activity, -27.7081871, -48.5050468, 2023-04-11T12:28:13.087Z
activity, -27.7070827, -48.503971, 2023-04-11T12:28:13.087Z
activity, -27.7062397, -48.5018386, 2023-04-11T12:28:13.087Z
activity, -27.6969795, -48.4997444, 2023-04-11T12:28:13.087Z
activity, -27.6967754, -48.4997024, 2023-04-11T12:43:47.859Z
activity, -27.6953334, -48.4993972, 2023-04-11T12:43:47.859Z
activity, -27.6948165, -48.4941444, 2023-04-11T12:43:47.859Z
activity, -27.6948165, -48.4941444, 2023-04-11T19:10:47.766Z
activity, -27.6935691, -48.4993743, 2023-04-11T19:10:47.766Z
activity, -27.6823272, -48.4918136, 2023-04-11T19:10:47.766Z
activity, -27.6823348, -48.491806, 2023-04-11T19:41:51.817Z
activity, -27.6836738, -48.4899482, 2023-04-11T19:41:51.817Z
activity, -27.6845359, -48.488758, 2023-04-11T19:41:51.817Z
activity, -27.6853713, -48.4878997, 2023-04-11T19:48:06.927Z
activity, -27.6860771, -48.4866371, 2023-04-11T19:48:06.927Z
activity, -27.6861934, -48.4864768, 2023-04-11T19:48:06.927Z
activity, -27.686182, -48.4869155, 2023-04-11T19:53:44.533Z
activity, -27.6875019, -48.4878273, 2023-04-11T19:53:44.533Z
activity, -27.6889801, -48.4896812, 2023-04-11T19:53:44.533Z
activity, -27.6934947, -48.4919815, 2023-04-11T19:53:44.533Z
activity, -27.6955661, -48.4930648, 2023-04-11T19:53:44.533Z
activity, -27.6953582, -48.4937477, 2023-04-11T19:53:44.533Z
activity, -27.6948165, -48.4941444, 2023-04-11T19:53:44.533Z
activity, -27.6948165, -48.4941444, 2023-04-12T01:38:26.205Z
activity, -27.6949119, -48.4993133, 2023-04-12T01:38:26.205Z
activity, -27.6968441, -48.4997138, 2023-04-12T01:38:26.205Z
activity, -27.6970233, -48.4997558, 2023-04-12T01:50:38.505Z
activity, -27.6953334, -48.4993972, 2023-04-12T01:50:38.505Z
activity, -27.6948165, -48.4941444, 2023-04-12T01:50:38.505Z
activity, -27.6948165, -48.4941444, 2023-04-12T18:02:36.127Z
activity, -27.7029685, -48.4991722, 2023-04-12T18:02:36.127Z
activity, -27.7050781, -48.4977912, 2023-04-12T18:02:36.127Z
activity, -27.6968269, -48.4997138, 2023-04-12T20:41:36.417Z
activity, -27.6953334, -48.4993972, 2023-04-12T20:41:36.417Z
activity, -27.6948165, -48.4941444, 2023-04-12T20:41:36.417Z
activity, -27.6948165, -48.4941444, 2023-04-12T23:16:44.306Z
activity, -27.6948394, -48.4992828, 2023-04-12T23:16:44.306Z
activity, -27.6948394, -48.4992828, 2023-04-12T23:16:44.306Z
activity, -27.6956787, -48.4973258, 2023-04-12T23:16:44.306Z
activity, -27.6956729, -48.4973678, 2023-04-12T23:16:44.306Z
activity, -27.6990108, -48.5001907, 2023-04-12T23:16:44.306Z
activity, -27.7021446, -48.497158, 2023-04-12T23:16:44.306Z
activity, -27.7007713, -48.4950408, 2023-04-13T02:08:34.042Z
activity, -27.6956882, -48.4979286, 2023-04-13T02:08:34.042Z
activity, -27.6948165, -48.4941444, 2023-04-13T02:08:34.042Z
activity, -27.6947975, -48.4943466, 2023-04-13T12:05:55.432Z
activity, -27.6947822, -48.5001716, 2023-04-13T12:05:55.432Z
activity, -27.6943321, -48.5072097, 2023-04-13T12:05:55.432Z
activity, -27.6941852, -48.5105934, 2023-04-13T12:05:55.432Z
activity, -27.6871433, -48.5098876, 2023-04-13T12:05:55.432Z
activity, -27.6871433, -48.5098876, 2023-04-13T12:37:55.770Z
activity, -27.6939907, -48.5093994, 2023-04-13T12:37:55.770Z
activity, -27.6948223, -48.503334, 2023-04-13T12:37:55.770Z
activity, -27.695013, -48.4996871, 2023-04-13T12:37:55.770Z
activity, -27.6948165, -48.4941444, 2023-04-13T12:37:55.770Z
activity, -27.6948108, -48.4940185, 2023-04-13T18:54:42.073Z
activity, -27.6615085, -48.5006866, 2023-04-13T18:54:42.073Z
activity, -27.6437397, -48.5201835, 2023-04-13T18:54:42.073Z
activity, -27.6344928, -48.5234298, 2023-04-13T18:54:42.073Z
activity, -27.6297359, -48.52285, 2023-04-13T18:54:42.073Z
activity, -27.6068954, -48.5194778, 2023-04-13T18:54:42.073Z
activity, -27.6072101, -48.5184326, 2023-04-13T18:54:42.073Z
activity, -27.6021785, -48.5173149, 2023-04-13T18:54:42.073Z
activity, -27.5997352, -48.514347, 2023-04-13T18:54:42.073Z
activity, -27.5986976, -48.5147476, 2023-04-13T23:05:29.425Z
activity, -27.6004505, -48.5146293, 2023-04-13T23:05:29.425Z
activity, -27.6003684, -48.5148696, 2023-04-13T23:05:29.425Z
activity, -27.5995178, -48.5179977, 2023-04-13T23:05:29.425Z
activity, -27.6025543, -48.517517, 2023-04-13T23:05:29.425Z
activity, -27.6066017, -48.5195884, 2023-04-13T23:05:29.425Z
activity, -27.6159629, -48.527172, 2023-04-13T23:05:29.425Z
activity, -27.6218051, -48.5265998, 2023-04-13T23:05:29.425Z
activity, -27.6418094, -48.5212898, 2023-04-13T23:05:29.425Z
activity, -27.6445598, -48.5218925, 2023-04-13T23:05:29.425Z
activity, -27.6452484, -48.5218238, 2023-04-13T23:05:29.425Z
activity, -27.670557, -48.5053253, 2023-04-13T23:05:29.425Z
activity, -27.6947307, -48.4948425, 2023-04-13T23:05:29.425Z
activity, -27.6948165, -48.4941444, 2023-04-15T00:15:42.778Z
activity, -27.6949119, -48.4993133, 2023-04-15T00:15:42.778Z
activity, -27.6951084, -48.4998474, 2023-04-15T00:15:42.778Z
activity, -27.6950092, -48.4997024, 2023-04-15T00:28:02.461Z
activity, -27.6949119, -48.4993133, 2023-04-15T00:28:02.461Z
activity, -27.6948165, -48.4941444, 2023-04-15T00:28:02.461Z
activity, -27.6970195, -48.499752, 2023-04-15T16:18:00.594Z
activity, -27.6953334, -48.4993972, 2023-04-15T16:18:00.594Z
activity, -27.6948165, -48.4941444, 2023-04-15T16:18:00.594Z
activity, -27.6948165, -48.4941444, 2023-04-15T18:11:11.171Z
activity, -27.6949119, -48.4993133, 2023-04-15T18:11:11.171Z
activity, -27.6967334, -48.5004158, 2023-04-15T18:11:11.171Z
activity, -27.706623, -48.5038757, 2023-04-15T18:11:11.171Z
activity, -27.7069835, -48.5039482, 2023-04-15T18:11:11.171Z
activity, -27.7069587, -48.5039443, 2023-04-15T22:20:09.460Z
activity, -27.7062606, -48.5036544, 2023-04-15T22:20:09.460Z
activity, -27.7058773, -48.5028152, 2023-04-15T22:20:09.460Z
activity, -27.7059478, -48.5034446, 2023-04-15T22:48:51.219Z
activity, -27.7068481, -48.5039215, 2023-04-15T22:48:51.219Z
activity, -27.7074298, -48.5040397, 2023-04-15T22:48:51.219Z
activity, -27.7074451, -48.5040435, 2023-04-16T01:57:11.114Z
activity, -27.7062397, -48.5018386, 2023-04-16T01:57:11.114Z
activity, -27.6948165, -48.4941444, 2023-04-16T01:57:11.114Z
activity, -27.6953601, -48.4948501, 2023-04-16T13:42:01.205Z
activity, -27.69594, -48.4923171, 2023-04-16T13:42:01.205Z
activity, -27.6974639, -48.4901046, 2023-04-16T13:42:01.205Z
activity, -27.6976032, -48.4903831, 2023-04-16T18:50:30.481Z
activity, -27.6965675, -48.4925956, 2023-04-16T18:50:30.481Z
activity, -27.7070598, -48.5039634, 2023-04-16T18:50:30.481Z
activity, -27.7073783, -48.5040321, 2023-04-16T20:54:53.840Z
activity, -27.7062397, -48.5018386, 2023-04-16T20:54:53.840Z
activity, -27.6948146, -48.4941711, 2023-04-16T20:54:53.840Z
activity, -27.6948165, -48.4941444, 2023-04-18T11:39:23.009Z
activity, -27.7062397, -48.5018386, 2023-04-18T11:39:23.009Z
activity, -27.716547, -48.5039443, 2023-04-18T11:39:23.009Z
activity, -27.7176017, -48.5044975, 2023-04-18T11:39:23.009Z
activity, -27.7151813, -48.5095634, 2023-04-18T11:39:23.009Z
activity, -27.7154788, -48.5103302, 2023-04-18T12:10:07.078Z
activity, -27.7166976, -48.50634, 2023-04-18T12:10:07.078Z
activity, -27.716711, -48.5060272, 2023-04-18T12:10:07.078Z
activity, -27.710205, -48.5045356, 2023-04-18T12:10:07.078Z
activity, -27.6948165, -48.4941444, 2023-04-18T12:10:07.078Z
activity, -27.6948165, -48.4941444, 2023-04-19T15:42:01.518Z
activity, -27.696104, -48.4995574, 2023-04-19T15:42:01.518Z
activity, -27.6967601, -48.4996986, 2023-04-19T15:42:01.518Z
activity, -27.6970157, -48.499752, 2023-04-19T16:14:30.269Z
activity, -27.6928825, -48.4988822, 2023-04-19T16:14:30.269Z
activity, -27.6882534, -48.4990348, 2023-04-19T16:14:30.269Z
activity, -27.6761837, -48.5082321, 2023-04-19T16:14:30.269Z
activity, -27.6732044, -48.5071372, 2023-04-19T16:14:30.269Z
activity, -27.6469554, -48.4786529, 2023-04-19T16:14:30.269Z
activity, -27.643114, -48.4754524, 2023-04-19T16:14:30.269Z
activity, -27.6429882, -48.4751281, 2023-04-19T17:28:11.581Z
activity, -27.6510181, -48.4788246, 2023-04-19T17:28:11.581Z
activity, -27.6659908, -48.4767837, 2023-04-19T17:28:11.581Z
activity, -27.6658115, -48.4767189, 2023-04-19T17:28:11.581Z
activity, -27.6637725, -48.4760856, 2023-04-19T17:28:11.581Z
activity, -27.6666946, -48.4813461, 2023-04-19T17:28:11.581Z
activity, -27.6738109, -48.484024, 2023-04-19T17:28:11.581Z
activity, -27.6820812, -48.4921493, 2023-04-19T17:28:11.581Z
activity, -27.7102928, -48.5095062, 2023-04-19T17:28:11.581Z
activity, -27.6968288, -48.4997138, 2023-04-19T19:41:56.302Z
activity, -27.6949119, -48.4993133, 2023-04-19T19:41:56.302Z
activity, -27.6948165, -48.4941444, 2023-04-19T19:41:56.302Z
activity, -27.6948108, -48.4940223, 2023-04-19T23:16:09.477Z
activity, -27.6990108, -48.5001907, 2023-04-19T23:16:09.477Z
activity, -27.7023353, -48.4973335, 2023-04-19T23:16:09.477Z
activity, -27.7023372, -48.4973335, 2023-04-20T01:27:35.268Z
activity, -27.6953334, -48.4993972, 2023-04-20T01:27:35.268Z
activity, -27.6948165, -48.4941444, 2023-04-20T01:27:35.268Z
activity, -27.6948089, -48.493988, 2023-04-20T21:33:18Z
activity, -27.6899757, -48.4987106, 2023-04-20T21:33:18Z
activity, -27.6846237, -48.5031127, 2023-04-20T21:33:18Z
activity, -27.6809978, -48.5097999, 2023-04-20T21:33:18Z
activity, -27.6871433, -48.5098876, 2023-04-20T21:33:18Z
activity, -27.6872291, -48.5098915, 2023-04-20T22:06:17.879Z
activity, -27.6806907, -48.5097389, 2023-04-20T22:06:17.879Z
activity, -27.6845645, -48.5031623, 2023-04-20T22:06:17.879Z
activity, -27.6899757, -48.4987106, 2023-04-20T22:06:17.879Z
activity, -27.6948165, -48.4941444, 2023-04-20T22:06:17.879Z
activity, -27.6948165, -48.4941444, 2023-04-21T22:07:54Z
activity, -27.6899757, -48.4987106, 2023-04-21T22:07:54Z
activity, -27.6615238, -48.5006484, 2023-04-21T22:07:54Z
activity, -27.6522331, -48.4791984, 2023-04-21T22:07:54Z
activity, -27.6055793, -48.4679718, 2023-04-21T22:07:54Z
activity, -27.5997638, -48.4754676, 2023-04-21T22:07:54Z
activity, -27.6012134, -48.4816551, 2023-04-21T22:07:54Z
activity, -27.6009292, -48.4809265, 2023-04-21T23:36:31Z
activity, -27.5997638, -48.4754676, 2023-04-21T23:36:31Z
activity, -27.6086673, -48.4797134, 2023-04-21T23:36:31Z
activity, -27.585453, -48.5002555, 2023-04-21T23:36:31Z
activity, -27.5854282, -48.5001564, 2023-04-22T00:02:45.737Z
activity, -27.5881137, -48.5059814, 2023-04-22T00:02:45.737Z
activity, -27.5910797, -48.5125122, 2023-04-22T00:02:45.737Z
activity, -27.5913562, -48.5140533, 2023-04-22T00:36:09Z
activity, -27.589529, -48.5161476, 2023-04-22T00:36:09Z
activity, -27.5924358, -48.5195541, 2023-04-22T00:36:09Z
activity, -27.592966, -48.5213851, 2023-04-22T01:09:32.070Z
activity, -27.5951614, -48.5210418, 2023-04-22T01:09:32.070Z
activity, -27.5999069, -48.5170936, 2023-04-22T01:09:32.070Z
activity, -27.6068935, -48.5198097, 2023-04-22T01:09:32.070Z
activity, -27.6261863, -48.5252799, 2023-04-22T01:09:32.070Z
activity, -27.6339416, -48.5234832, 2023-04-22T01:09:32.070Z
activity, -27.645502, -48.5225219, 2023-04-22T01:09:32.070Z
activity, -27.6899757, -48.4987106, 2023-04-22T01:09:32.070Z
activity, -27.6948165, -48.4941444, 2023-04-22T01:09:32.070Z
